,author,published_at,like_count,processed_text,detected_emotion
75,@NikhilTiwari-VT,2022-10-03 16:42:03,94.0,proud indian airforce amptheir made india combat flying equipment,joy
76,@atulsubedi,2022-04-19 23:05:36,2.0,beautiful song nice try,joy
77,@nishantrana8075,2022-05-25 12:42:13,1.0,hrefhttpswwwyoutubecomwatchvreawlkuzncampta hit hard,neutral
78,@haiderkayani7954,2022-09-05 05:57:02,0.0,im pakistani dn know wht saying vibing,sadness
79,@koyodynax2403,2022-10-17 11:32:14,0.0,next video nepalchina friendly industrial park,neutral
80,@mrnmt1122,2022-01-29 17:40:07,0.0,perfect,neutral
81,@rachhak,2022-10-31 18:36:33,3.0,specially thanks badri pangeni,neutral
82,@zahidramzan9999,2022-05-12 06:10:05,11.0,respect kashmir,anger
83,@AsheshPokhrel,2022-11-09 14:14:34,10.0,believe nepalese people still dont know maybe dont deserve legend legend done many thing free speech equality revolution democracy many good thing happened nd term month prime ministership people criticize everyone criticizing guarantee limited power done many thing party oli congress always pulling back loadshading projected year month prime ministership ended,surprise
84,@AnyHelp89,2022-10-16 14:09:36,0.0,good evilhe jst sinner deed,disgust
85,@pa3634,2022-11-12 11:40:15,0.0,national problem,joy
86,@roshantamang4106,2022-11-08 10:51:56,58.0,karma see sooner later innocent soul lost civil war haunt,sadness
87,@drakenkraken8455,2022-10-03 17:52:46,2.0,ecuador returned india helicopter crashed,neutral
88,@kumarvlogs1617,2022-02-18 06:27:51,2.0,political attachment better famous artist,disgust
89,@ram-v6i8z,2022-09-21 00:41:56,0.0,sumptuous performance like bio diverse people,joy
90,@roht1634,2022-11-10 19:40:31,0.0,happy see terrorist murderer,anger
91,@aayushbajgai6846,2022-11-01 05:20:41,5.0,great song,joy
92,@gopalbhul9878,2022-11-02 18:11:40,1.0,yatharta git ho good song,joy
93,@sushioudenaarde,2022-11-09 16:48:09,0.0,sobrmuch selfcentred,disgust
94,@ABRVLOGS1,2022-04-22 12:21:08,2.0,simple beautiful,joy
95,@kedardiyali8888,2022-04-14 03:09:11,1.0,wow song,surprise
96,@Bikramthakuri999,2022-02-18 12:35:24,1.0,great leader nepal,joy
97,@deeptigarg2621,2021-11-05 17:36:39,250.0,respect qatar actually indian live qatar,neutral
98,@SilentPlague57,2021-11-04 08:15:29,287.0,lot love karachi pakistan jai hind,neutral
99,@su-mitramagar8212,2022-04-16 08:32:09,2.0,wow congratulation team,surprise
